,,Unemployment %,,,Full Time Work Access,,,Poverty,,,Working Poor,,,,Income,,
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",New York,12.8581199179269%,2.44228432563791%,23.1903485254692%,85.0103007828595%,86.6634394287789%,80.4044820989342%,25.1511555630898%,5.89424048501179%,39.7160068846816%,,,,,83966.2785963552,99262.3418516967,50006.288239293
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",New York,12.2195725136902%,7.22358259559239%,15.730434032272%,90.1452995370583%,90.8470339390443%,90.1759133964817%,24.6230057550812%,14.9713277459197%,30.1105527638191%,,,,,50505.1634718056,61975.5635516986,40633.9085634254
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",New York,8.20338634141321%,5.90678357175819%,10.9990034877927%,86.2294251709293%,95.1310425160163%,83.0307431614621%,33.0698377783888%,9.71045197740113%,32.7497518274524%,,,,,58567.9554211206,86794.1972572548,35585.7055393586
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",New York,8.84429373506031%,2.89458010720667%,8.47308031774051%,75.6147540983607%,69.1897654584222%,83.2788944723618%,30.6681088276895%,23.8182559087205%,27.7615482928611%,,,,,53933.7851021753,70097.192261599,45394.2476995022
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",New York,13.9598997493734%,4.12610106629578%,17.8231140006726%,87.2162202160722%,93.9068100358423%,82.7908942696697%,37.7250912670741%,14.3259881479777%,47.9197314322357%,,,,,60622.9349759044,93272.2252628547,32889.8900153162
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",New York,10.2617648487203%,2.69982238010657%,10.5386578384716%,72.3166494506526%,86.7281760113556%,72.0002731680667%,56.9786744987869%,32.446396280031%,53.9963153149622%,,,,,38911.9710427217,51216.9844517185,38024.3384235986
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",New York,3.76931165574699%,2.62439024390244%,9.60507069722087%,78.5966257668712%,86.5078580606899%,54.6042617960426%,15.1139742319128%,10.3394062702303%,24.4504565437944%,,,,,115376.622109474,124822.134369287,61414.4111498258
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",New York,8.29842931937173%,0%,18.6468921846359%,87.8507871321013%,97.6470588235294%,69.5754255527294%,21.657078337545%,0%,44.1743503772003%,,,,,117819.037008181,145465.794085433,51437.7502812148
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",New York,0.643776824034335%,0.883995037220844%,0%,83.5232204861111%,91.1589184410226%,59.6766409266409%,13.721206364284%,1.52145830343046%,27.2920353982301%,,,,,130683.994024034,150796.151943749,56617.8730287101
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",New York,2.65553057072492%,3.54995705697108%,0%,87.9476360489019%,100%,71.4065708418891%,16.4686969724033%,4.44471957409929%,52.1108179419525%,,,,,106646.505105179,116796.681507866,57479.079798706
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",New York,15.1011214415796%,11.668432827034%,11.6902372262774%,74.2288168684108%,84.9209313908604%,63.5132319233174%,49.3997754555661%,16.5247762497271%,50.5653115227327%,,,,,41461.6741188848,52682.2140762463,35766.3057742782
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",New York,8.9989888776542%,4.86895161290323%,13.2262051915946%,79.903078677309%,84.514034752721%,73.7608043746693%,30.2012379086187%,22.3322585598035%,25.7349952580951%,,,,,44538.1799092809,60165.6888838681,34852.331699151
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",New York,10.7081629961757%,0%,16.8394437420986%,69.6374622356496%,63.7633525061627%,60.4745925215724%,58.2299486369024%,39.4390383514596%,55.5103884372177%,,,,,30545.0903832249,48761.5979381443,30044.5659928656
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",New York,10.6306934576995%,8.07402554864068%,11.8692300056252%,84.6418671197353%,92.4366209045734%,82.4258266005839%,15.5044955044955%,3.02237945089595%,15.6679586203051%,,,,,47156.8844751994,62244.3189066059,42398.7792924509
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",New York,5.64417963995131%,6.07612220515446%,4.96437054631829%,85.662712738525%,90.3181895524928%,85.948223961469%,18.040627989421%,10.9260391198044%,20.2698429429746%,,,,,50974.3076459964,61730.8214016579,47253.0680862987
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",New York,3.84031936127745%,0%,4.68528159015618%,86.1498667502744%,94.7314403010606%,81.4277489925158%,19.9212836815017%,6.99853587115666%,20.0503680743898%,,,,,47925.8875443545,60792.1632358252,44731.4027149321
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",New York,5.24455753463387%,4.55430128454652%,0%,85.1872711912138%,92.1302852518713%,70.1015965166909%,19.1888248989095%,7.95049690605663%,42.5621414913958%,,,,,68789.9768595041,81620.0614844093,30055.900621118
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",New York,6.82886782595716%,4.67082746124421%,9.14856294697072%,84.5981810049202%,88.5147696756868%,85.0866746063253%,16.2955169793676%,4.86241990199774%,14.6778295888088%,,,,,52418.1323581248,76489.194865811,39012.6852255054
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",New York,6.69487307117969%,7.01342997228736%,6.8189233278956%,81.3591737855412%,83.6455807802513%,76.2062128222076%,22.6970865467009%,5.65414775072225%,34.5281072717896%,,,,,79673.5392571697,99775.5425559947,54687.1942758023
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",New York,12.4978201476487%,6.43697891123099%,18.55643384735%,77.181712962963%,82.4963609898108%,72.7707454289733%,23.758865248227%,9.30612244897959%,26.7188949592825%,,,,,63618.0422883707,81242.1937950301,50044.6617703904
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",New York,10.0777005316352%,0%,14.7899159663866%,89.1792592592593%,87.1628542164561%,91.3423742138365%,23.9417744916821%,2.90625%,33.2726213026373%,,,,,49119.3582297827,66277.6459067763,41529.7430876815
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",New York,1.57744758803175%,1.06297633373446%,2.37928621413576%,90.2390438247012%,92.057761732852%,88.6822773186409%,7.29748603351955%,5.93445527015058%,8.01877566986114%,,,,,57843.1975717439,76250.6252723312,41489.257054103
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",New York,6.46459564834612%,2.23816355810617%,5.08474576271187%,85.8477970627503%,100%,77.5804128660586%,26.1177805085547%,9.07705703090988%,30.1910299003322%,,,,,45234.2428955182,57553.7422952744,33079.8886138614
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",New York,6.62133824744233%,3.12082777036048%,6.15804461319411%,86.1584299501263%,80.3260348409781%,90.3304475064016%,18.5187168639212%,12.9328203610536%,19.6372549019608%,,,,,46440.2420688618,60836.9478710704,37755.5615550756
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",New York,9.03562119895743%,9.22089290925007%,6.91891891891892%,84.1342780973762%,89.2093485827946%,82.887792565397%,15.8848991370158%,5.9364021259346%,16.3085375038767%,,,,,53257.5080258495,66012.8049052397,46616.9333517891
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",New York,3.85515627151315%,0%,6.76488643339472%,91.6116936323867%,93.7754271765663%,93.335881753313%,17.1298954863903%,14.6875%,10.7903055848261%,,,,,49858.036837717,64962.4078091106,42926.7959044369
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",New York,7.47379100439635%,2.75319567354966%,9.52111079625956%,85.1901491037025%,100%,75.7142857142857%,19.0919674039581%,0%,17.7255526787493%,,,,,70246.2753195674,99193.2810920121,54656.7489114659
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",New York,0%,0%,0%,86.2852951961863%,92.9159802306425%,80.964970257766%,7.37315010570825%,10.8338597599495%,5.07314771118452%,,,,,70632.4288142796,84037.9255319149,58288.4285714286
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",New York,11.1092018214623%,7.33658942117843%,31.5309842041312%,84.2677394504836%,89.3990755007704%,57.8371810449575%,15.4815272839697%,6.57894736842105%,45.636126791142%,,,,,130864.616556628,141020.929564518,49167.0168067227
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",Mohawk Valley,3.73263888888889%,0%,0%,62.2182146077547%,54.9800796812749%,64.97277676951%,44.7940503432494%,0%,63.4693877551021%,,,,,31942.8985507246,34554.347826087,31797.7653631285
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",Central NY,1.42557651991614%,0%,4.05244338498212%,93.4887459807074%,100%,82.8025477707006%,10.2123356926188%,2.06985769728331%,20.6712433257056%,,,,,48919.1745485813,58123.8680465718,30675
"Onondaga County (Central)--Syracuse City PUMA, New York",Central NY,1.92771084337349%,0%,2.52764612954186%,86.3477246207701%,100%,90.032414910859%,41.8925579103007%,19.8581560283688%,27.0861833105335%,,,,,37573.3783783784,45043.9716312057,39795.5895589559
"Onondaga County (North) PUMA, New York",Central NY,13.0547903275176%,0%,15.1563852144888%,64.9217181854677%,83.2382623957876%,57.6245013511775%,56.4830845538346%,32.5381047051027%,57.6673346693387%,,,,,37886.7660153351,50371.4285714286,35653.8610987048
"Ontario & Yates Counties PUMA, New York",Finger Lakes,0%,0%,0%,81.6655907036798%,100%,95.0693374422188%,62.9856850715747%,0%,23.0132450331126%,,,,,25064.0316205534,55000,34295.9481361426
"Orange County (Northeast)--Greater Newburgh City PUMA, New York",Mid-Hudson,8.4543370271303%,0%,7.59878419452888%,78.1858653311074%,80.9298193663014%,80.041022404544%,29.6056547619048%,8.33555259653795%,34.8940763729591%,,,,,57976.7354685646,85576.362971094,47452.4305144885
"Orange County (Northwest) PUMA, New York",Mid-Hudson,3.69747899159664%,0%,3.69252439883288%,78.3859397417504%,77.8048780487805%,79.7612114152592%,19.9166666666667%,4.11149825783972%,21.661976235147%,,,,,47961.7479637595,56719.3909538737,47893.734939759
"Orange County (Southeast) PUMA, New York",Mid-Hudson,4.97228693067716%,11.1317685335812%,1.91728293618187%,86.772610422996%,94.4430784361938%,83.5452893848949%,25.2739225712199%,22.1712233087208%,21.3728395061728%,,,,,58332.525361343,73769.0288987243,53986.4181422802
"Oswego County PUMA, New York",Central NY,22.3270440251572%,5.99520383693046%,25.3062117235346%,70.67994802945%,88.1377551020408%,67.1100678142932%,37.1370351502802%,8%,42.002002002002%,,,,,46378.2169117647,49552.8219971057,45525.650991061
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",Mohawk Valley,9.52823179791976%,7.50750750750751%,8.86850152905199%,68.4540389972145%,73.1843575418994%,69.5169350360911%,54.185760590142%,44.7428571428572%,51.0489510489511%,,,,,32812.9323499491,41872.7371864776,31237.839456869
"Putnam County PUMA, New York",Mid-Hudson,7.15920915712799%,0%,10.4942037827944%,72.5762922981109%,51.8611987381703%,81.9534282018111%,13.5941062971409%,0%,18.7378370864609%,,,,,50339.7617276888,47067.396593674,52086.1906077348
"Rensselaer County--Troy City PUMA, New York",Capital Region,9.47109471094711%,0%,20.0520833333333%,77.5842044134727%,84.3010752688172%,74.2738589211618%,39.2990654205607%,0%,68.1425485961123%,,,,,45524.9176646707,57681.7474489796,28210.0558659218
"Rockland County (North)--New City & Congers PUMA, New York",Mid-Hudson,10.5480998369497%,12.652136994056%,4.92705094475006%,83.819453609608%,91.644123835287%,79.0141182100981%,13.3341137906813%,0%,19.1512513601741%,,,,,66234.1127381515,89237.7008855362,44993.0648092065
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",Mid-Hudson,3.32489451476793%,1.75918686473808%,5.12474713418746%,82.5590741038418%,94.1902109033028%,78.9423076923077%,20.1510216168197%,1.75918686473808%,19.8529411764706%,,,,,58926.9470404985,75402.1123785382,48191.5550142103
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",Mid-Hudson,3.66758241758242%,0%,7.02045328911001%,81.2893512181769%,94.1163930931571%,81.28%,13.785895037958%,9.68687053653177%,21.7081850533808%,,,,,94621.1379020037,110753.945186863,47884.6916010499
"Saratoga County (Outer) PUMA, New York",Capital Region,17.3949345950459%,0%,36.8949232585596%,94.4057890342333%,97.7099236641221%,90.6139315230224%,11.6185897435897%,6.76156583629893%,16.7650531286895%,,,,,60722.1108490566,81564.1741071429,35574.2019543974
"Saratoga County (South & Central) PUMA, New York",Capital Region,11.326194398682%,23.584229390681%,9.16990201515992%,82.4078122722635%,79.8401420959147%,82.7045850261172%,47.0172925406733%,29.0322580645161%,41.222288795686%,,,,,36217.5733993633,61563.9599555061,33254.7742690059
"Schenectady County--Schenectady City PUMA, New York",Capital Region,2.2706065318818%,12.0065789473684%,0%,82.1123321123321%,80.9345794392523%,81.7540766857647%,30.9886759581882%,32.8732747804266%,14.1690340909091%,,,,,36553.3828996283,63228.6374133949,29841.832884097
"St. Lawrence County PUMA, New York",North Country,8.95179453706951%,4.45252595578582%,10.355238070548%,82.6119705196948%,88.4943424225561%,80.456597430664%,29.1052669135853%,9.41572151270639%,31.2888002739148%,,,,,55292.070966752,78274.6788646601,42714.288388848
"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",Southern Tier,1.50136487716106%,0%,1.83946488294314%,75.2599653379549%,78.5992217898833%,74.3032329988852%,45.1457684687235%,6.2043795620438%,52.2948073701843%,,,,,52687.4035693725,111816.831683168,34766.7066766692
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",Long Island,7.07561970505177%,1.24567474048443%,9.44383860414395%,88.7601037059631%,89.2526250772082%,87.9625598606878%,29.8058152676462%,3.95337050177395%,28.1200381073357%,,,,,53349.6855670103,92665.7439446367,41942.0217767879
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",Long Island,3.78360063248249%,2.20700152207002%,4.92707221629313%,90.8708025042686%,97.79299847793%,86.6018368449487%,5.70579799221471%,0%,8.82973543255965%,,,,,53911.1436803207,50477.8210116732,53569.6943231441
"Suffolk County (Central)--Islip Town (East) PUMA, New York",Long Island,4.13223140495868%,7.30864197530864%,2.19702338766832%,86.4620228256592%,80.5925925925926%,93.1254429482637%,13.4342301943199%,9.32001902044698%,10.7438016528926%,,,,,61669.6859353664,71045.9558823529,57472.4505327245
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",Long Island,4.79297365119197%,0%,9.02646502835539%,92.6370757180157%,90.0780379041249%,96.4675324675325%,4.3369663941871%,0%,7.64305722288916%,,,,,56195.6200676437,62107.6485148515,49281.6908992999
"Suffolk County (East) PUMA, New York",Long Island,5.22648083623693%,0%,7.6530612244898%,88.253178551686%,65.6526005888126%,97.0308788598575%,21.7102694260055%,21.0759493670886%,17.4846625766871%,,,,,54570.9677419355,74270.7025411061,49866.1770705834
"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",Long Island,5.37383177570093%,0%,10.4723961297666%,95.0642523364486%,100%,90.3813318155948%,0.324675324675325%,0%,0%,,,,,101212.431643625,143610.356928614,56705.2896725441
"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",Long Island,0.725952813067151%,0%,1.56109276493546%,86.710729855154%,100%,71.1802378774016%,18.3239932229897%,2.58350730688935%,32.1007502679528%,,,,,81568.6831008758,102892.828364222,49752.3564695801
"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",Long Island,13.680855907125%,0%,14.923706736137%,86.6936503921073%,100%,81.0380057212914%,13.4520996182512%,0%,14.5151869158879%,,,,,92193.5803910126,116277.441659464,81698.6384266263
"Suffolk County (Northwest)--Smithtown Town PUMA, New York",Long Island,13.6363636363636%,0%,32.3442136498516%,74.1962077493817%,100%,29.6629213483146%,25.7117698855298%,0%,35.4630715123095%,,,,,111113.888888889,143795.366795367,31238.6363636364
"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",Long Island,0%,0%,0%,90.7910812461821%,97.061873487729%,85.6668511344771%,11.2799685575789%,0%,11.6893960478709%,,,,,58919.2867956266,86453.6324786325,34715.4134366925
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",Long Island,2.78969957081545%,7.90190735694823%,0.785038097437081%,85.2769679300292%,92.0072661217075%,82.6829831447703%,4.24377004687886%,0%,2.50653879686138%,,,,,59510.8018648019,70225.2566633761,63154.6048589779
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",Long Island,15.2499500765493%,9.42501481920569%,16.0366132723112%,85.3845636229056%,83.1061055127445%,85.6917216389483%,17.7196134608848%,3.69815092453773%,17.1157214064394%,,,,,46904.2816612814,58810.2710413695,43710.9216090209
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",Long Island,0%,0%,0%,84.8466505246167%,88.3655204898728%,81.2430219575735%,2.35231694375663%,0%,3.98084405866507%,,,,,68387.4587395957,71662.0469083156,67241.9899221255
"Sullivan & Ulster (West) Counties PUMA, New York",Mid-Hudson,25.6922706477245%,19.290780141844%,21.0833603632825%,73.8320209973753%,80.709219858156%,80.1484230055659%,58.930584635207%,29.4436906377205%,51.318359375%,,,,,38457.7461784572,55648.1546572935,34802.7037037037
"Tompkins County PUMA, New York",Southern Tier,17.027027027027%,30.2197802197802%,4.3956043956044%,89.3243243243243%,84.6153846153846%,93.6813186813187%,16.9085631349782%,0%,23.3333333333333%,,,,,62935.7337367625,93741.9480519481,36885.6304985337
"Ulster County (East) PUMA, New York",Mid-Hudson,18.2426778242678%,5.01222493887531%,20.5763169743359%,69.2231404958678%,100%,65.1095860084127%,26.2620764729895%,0%,31.8422046055115%,,,,,57017.5453677173,128747.775061125,42827.9156749405
"Warren & Washington Counties PUMA, New York",Capital Region,26.2042948345908%,2.93757649938801%,34.2556508183944%,84.9757673667205%,91.3096695226438%,82.5411334552102%,36.3560033585223%,2.73037542662116%,41.525651356433%,,,,,43987.2775665399,68489.1420911528,35483.4994462901
"Wayne & Seneca Counties PUMA, New York",Finger Lakes,11.0401802478408%,0%,12.7384196185286%,69.5748613678373%,67.3765730880929%,71.5854495538778%,28.5883748517201%,0%,39.0516782099094%,,,,,49268.9160467588,61835.9195402299,44634.0364333653
"Westchester County (Central)--White Plains City PUMA, New York",Mid-Hudson,0%,0%,0%,85.2749956070989%,74.5597602098164%,94.5491943777854%,17.8918999850277%,14.6191247974068%,19.6898771211235%,,,,,89312.7962085308,149558.894472362,46768.6004350979
"Westchester County (Northeast) PUMA, New York",Mid-Hudson,1.56846558662677%,0%,2.91020486310549%,90.8023279983371%,92.3235563703025%,90.0216919739696%,9.53305675699532%,0%,15.7659098177167%,,,,,71355.0177406433,93168.5405807893,53575.6276013144
"Westchester County (Northwest) PUMA, New York",Mid-Hudson,10.9719934102142%,0%,19.1489361702128%,88.1243797552101%,71.0476190476191%,96.4945825366475%,6.23236727365991%,0%,9.17734601074824%,,,,,68478.0405405405,91970.3753351206,68881.0435931308
"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",Mid-Hudson,9.26603639320931%,7.24454856730943%,10.5949676007742%,84.6440551621319%,90.917516218721%,80.731108484132%,25.2710225607969%,11.430667644901%,26.2875274591164%,,,,,50558.7318361955,61676.2283384302,48509.1079071863
"Westchester County (Southeast) PUMA, New York",Mid-Hudson,8.47207586933614%,6.0093896713615%,12.1724429416737%,84.0367373715285%,83.3802816901408%,89.1364902506964%,6.45891364902507%,0.414479137883393%,11.0707803992741%,,,,,109655.567525371,134092.631381381,61479.4541666667
"Westchester County (Southwest)--Yonkers City PUMA, New York",Mid-Hudson,3.47265382224984%,2.1440711204079%,5.41834194907142%,86.2234248163896%,86.9797086368367%,85.1153039832285%,13.0917013269954%,8.4844338008895%,15.7045416735984%,,,,,76861.3646552497,91787.6476745925,54512.0465741155
,,11.3929313929314%,4.87804878048781%,6.84559198233396%,79.8773633111906%,96.6186252771619%,84.0200166805671%,38.1050270977387%,46.0930640913082%,27.9156600043927%,,,,,70063.6860286592,59131.9563970166,80756.8334325988
