,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",New York,87.0385697732164%,84.575974113523%,89.3037853071159%,27.6770023530813%,6.77344418633085%,29.224868601733%,13.0254968881751%,10.3443743427971%,12.1592898224556%,9.28109547356409%,3.71433126095967%,9.94764397905759%,48322.0220616204,65980.5464689941,40902.3596069712
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",New York,69.6504173218822%,79.6802773497689%,65.8130229174245%,53.0901070624454%,17.0600134861767%,51.4732673267327%,15.0507246376812%,10.1885486939976%,18.1501098049348%,19.1501678823666%,5.55958423978729%,11.5962856511165%,41196.9179113118,56934.053662074,43757.4596506743
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",New York,72.8160025741406%,69.631483166515%,72.5460636515913%,51.4461931093152%,16.5409482758621%,52.4700466269256%,12.0311738918656%,1.74376362315331%,10.230941147256%,23.4128737663868%,1.86213655668082%,19.5682290464096%,41419.4440271027,51998.6968311009,41066.5781574694
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",New York,78.4313725490196%,89.0952666267226%,78.3606192226306%,56.7521234317775%,16.3886162904809%,57.6829496537526%,10.8490566037736%,1.50486869282974%,11.6052741732943%,27.2282608695652%,2.21923335574983%,33.2717453098351%,34465.721557971,52736.8749159381,29332.7316657192
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",New York,86.9104861819418%,90.1950891355533%,86.2518200628401%,26.4982861266462%,13.9746178252091%,22.5139500734214%,6.64786083685943%,11.0435497124076%,4.56773618538324%,13.132893707388%,8.0551929889987%,13.9848956019547%,41742.8674416005,49664.0164087265,38188.2763216348
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",New York,86.8068276436303%,87.2524752475248%,86.5907797381901%,20.1504181750094%,3.93497136523185%,34.2648229928328%,10.6433116016024%,3.86057492014998%,17.5780074245009%,3.49143925950794%,0.788022064617809%,6.63862232154595%,84514.976931562,107386.964854216,49561.9560930722
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",New York,84.8486423281798%,87.7114769090078%,87.9406769128796%,35.5020027362487%,7.15383138083349%,33.9617130871147%,14.0586797066015%,9.04323630136986%,15.513342379014%,15.1773136522325%,1.26417307441679%,15.3900508762012%,46205.9571874809,71209.6593249055,40029.744205766
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",New York,85.6009869580543%,83.1622911694511%,88.4435904474335%,14.97600714206%,6.81416848447076%,19.6608083156671%,4.57243816254417%,3.04837237602677%,7.09048640915594%,6.94255713403335%,3.87430047352561%,8.05917649493069%,80977.4390776199,94289.1467929402,66249.1082143596
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",New York,81.9598725566176%,84.603308779133%,80.2327373612824%,20.3204500205417%,16.4253085819808%,15.5667748527467%,11.6202054076713%,13.122068413225%,11.8121622650126%,7.87455347762135%,10.0057093919498%,1.92104504850639%,55021.9836100021,61009.5746502997,55630.7463260013
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",New York,66.6024471033597%,74.729916334985%,64.1559026734755%,33.2847229206477%,11.3311101847992%,41.4358335926963%,4.80929253133173%,3.70125578321216%,6.81257936804362%,17.0870337477798%,1.95652173913044%,29.2286082172539%,64545.5732047704,81479.6695652174,52226.9998829451
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",New York,76.9068803912246%,84.916067146283%,68.6427656850192%,42.9952139770457%,22.8668299114711%,43.7413314840499%,7.30404217926186%,0%,9.89994734070564%,24.6489446259825%,3.27591075967241%,26.6554747248648%,40271.6497394683,55922.6489692177,36808.6159298638
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",New York,82.2916980110132%,84.9405618636388%,80.1684411250596%,20.1714811572734%,9.76418737789086%,24.5619816554073%,11.8983408571261%,8.56390694675764%,13.6885056586342%,7.15225976305397%,4.2864315300615%,7.90882061446977%,66727.0672809712,82380.1543868457,48162.1403369673
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",New York,79.4466595351551%,82.536860817735%,74.5054048541709%,17.277848446302%,9.49560066207858%,20.3734529926902%,3.48149234756247%,1.13672922252011%,4.42849820604818%,4.6208458289981%,1.01355631572279%,5.7897618395839%,70863.4674092662,85246.4974027619,59398.9310156036
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",New York,80.9113708418114%,92.4576467857971%,75.9195923780275%,51.1057255377158%,19.9107316126528%,47.0199562480468%,7.74576583210604%,8.20689655172414%,6.32536346723627%,19.83741739283%,11.0190763052209%,15.9694768778156%,36602.0480729867,44779.0135542169,35477.207869817
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",New York,90.0127646463313%,90.3147042864894%,90.3883495145631%,23.8675958188153%,13.9739789196311%,29.7850162866449%,12.0353907374481%,6.80266075388027%,15.9445843828715%,10.718826405868%,7.43967157304496%,12.8698369299873%,51363.0831295844,63431.6711725243,40560.6434918465
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",New York,84.1854454405945%,84.2230271361558%,84.2822232621016%,18.5171324018629%,6.42211762159823%,21.3985800442782%,8.84127862545129%,6.74789128397376%,10.4850141757797%,6.27458505228821%,1.76254935138184%,9.33374460209747%,59796.8791774601,73140.5749435984,47348.864898211
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",New York,87.5605788166795%,91.1181582101478%,85.9584520252901%,19.3376475066616%,5.79313654907607%,35.6406406406406%,3.85031513507015%,2.8045375657117%,6.1955930359086%,8.96911853865561%,2.5595352278644%,24.3129647591335%,70885.8780583208,79339.281494067,47774.0874555448
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",New York,85.2187577854008%,87.7261080244564%,79.9045138888889%,16.3885437473459%,6.82237388176704%,34.2335939350865%,6.28854689031068%,4.67263498864999%,9.07055873925501%,2.81775658900783%,2.11110789785708%,4.63878326996198%,104345.445938653,115048.371265797,68226.4052145573
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",New York,79.8202164740415%,85.6718192627824%,75.8116522125862%,35.9143265111852%,12.0875566098771%,39.5351585582037%,11.113270337892%,2.11121927476272%,15.6180825421811%,15.2148931280165%,4.50381679389313%,22.0136393634964%,49368.7385494304,61432.7015961138,40429.7858766591
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",New York,84.0568131380382%,89.871518946064%,79.5919764496474%,25.2765351316463%,12.4603127059246%,25.5493300852619%,13.9035220784952%,10.1409702819406%,14.3858579701311%,9.73703664589714%,5.08708272859216%,11.543093067263%,45970.9211109938,58724.2856313498,34341.0373301221
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",New York,85.8091254461031%,91.9591207096028%,84.4538729329852%,39.1817502208731%,10.3291369634461%,39.5846299996724%,10.0336774288015%,10.1268183513614%,8.99849592863441%,16.1844282456062%,5.89222059131894%,16.7525441195414%,42118.7107016681,56326.9490459216,39010.0347803684
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",New York,85.7142857142857%,86.3472868901295%,81.2442817932296%,10.3258856931243%,3.88768020170391%,25.8613984599829%,6.42903797704582%,3.83756848774548%,13.2115749525617%,3.12035336307181%,1.68924099156657%,12.3230373230373%,119853.058208694,128683.191055456,69314.1557271557
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",New York,84.90245971162%,87.4124950468895%,82.7522737115635%,15.7887836376151%,5.32303199902665%,23.5752182098237%,4.19123758261764%,3.36123463248758%,6.215075835329%,4.28662246844065%,1.14838319734059%,9.43346853329844%,60621.7666424485,74759.6649289816,41741.1644642156
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",New York,81.3406631360811%,82.1409330891068%,82.1479374110953%,25.1782862027851%,6.76558738269543%,34.6977005572987%,4.92969724458555%,1.36503742844562%,7.86530662406292%,8.31180779165635%,1.57408014691415%,14.1676505312869%,56230.2700541382,70291.7696596052,40442.7682014955
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",New York,85.3526585651419%,88.1995458795245%,81.2545739675902%,20.0835495917463%,9.85348676350374%,30.2649643053267%,6.18926238649036%,1.64179104477612%,12.3099850968703%,8.95416489286221%,6.9205724237147%,12.596500257334%,55068.5804834208,65451.0153706368,38036.1940298507
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",New York,89.7345527548517%,91.411768625883%,76.3549645902587%,7.62806681051706%,3.77801461161824%,30.2259578648619%,3.68123346409999%,2.93302501147705%,9.53972353030533%,1.00008320159747%,0.812859287466588%,2.97179632784403%,170015.150475622,175760.24367129,113764.035585841
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",New York,88.9103598790552%,94.1526389064675%,83.6162940550233%,31.8732448196215%,10.0304742084139%,46.7030837004405%,12.0285845007517%,4.69899040259255%,16.8601876888818%,13.4521465647294%,3.2620871981001%,24.8877571533874%,72623.4120534915,102138.21033293,34887.5281109696
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",New York,76.1685116851168%,83.8982387475538%,66.0263872720217%,44.462658502483%,16.3160733549083%,49.4185716716774%,12.3273676643081%,7.73056057866185%,11.5741717661954%,17.9707346814348%,8.77739984882842%,20.2762268586541%,57264.4650787243,76974.6407911924,37689.3035556862
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",New York,81.2035288210964%,83.5665878012592%,75.7811395447476%,26.7195311153249%,19.8897096367907%,26.9407391209272%,9.31663529752425%,6.50310872122332%,14.537680384821%,12.8184713375796%,8.35658616376407%,14.5988805970149%,60187.7142352422,73238.0252411344,43679.2542910448
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",New York,88.7933143090094%,94.4759206798867%,77.7281746031746%,21.5076702602352%,6.79131295245039%,33.2214127336079%,6.29175718326024%,3.63332453593736%,13.7663433150569%,5.31466913465988%,0.962018990504748%,14.263820470717%,79521.8025572747,95180.7946964018,39055.3690704106
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",New York,86.20376030655%,88.5457809694794%,75.2129471890971%,8.80065550093048%,3.91437415226237%,21.1025114515874%,2.82806804374241%,1.76756517896597%,8.37356108429261%,1.71924726719247%,1.15774533657745%,0%,130645.795835063,140399.473479319,78375.7392726815
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",New York,89.1067052795723%,91.0599601119792%,78.772019402604%,8.77812663526949%,7.73763771457853%,12.9104239719477%,3.5606566998712%,3.43626051821922%,4.54733360892931%,0.842857142857143%,0.68318363574256%,2.13903743315508%,148031.29725,154769.651897844,94864.5892075839
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",New York,81.8057437368827%,83.6732784431138%,70.6769650159019%,9.28712940113309%,4.46168905786719%,29.5321256353447%,4.87870619946092%,2.65283509707257%,15.4440482255052%,1.04083786636356%,0.342912520034291%,3.95988686037542%,157870.411626208,167502.393119386,94293.3774749293
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",New York,88.6884303628195%,89.7323222503079%,84.5634026765602%,8.13412946013512%,6.83168201286046%,16.7527028343236%,1.89437155352729%,1.85612718734423%,2.4343805249558%,2.51699600560802%,1.90107477175546%,9.19774365402695%,158076.326997857,161709.337498555,118669.946725165
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",New York,74.440044147244%,71.7676514772158%,80.7776083641908%,24.639177919496%,17.9326173566603%,27.5563818608035%,6.38375165125495%,3.0055487053021%,7.34185512946575%,8.91330891330891%,6.0703321239185%,7.98166374544964%,89731.3940345369,114411.96274072,52847.0106512067
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",New York,81.7185322805388%,90.1516186313345%,78.0906699675074%,11.9361205813745%,4.21487603305785%,11.13213304852%,8.03369728915663%,4.02940375714675%,11.1463453305851%,4.46174832329203%,1.5%,2.39746383990489%,54149.9548709787,71001.1666666667,44610.9972260749
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",New York,82.3864701691229%,85.4268008262811%,78.6912171507607%,11.3427551051555%,4.02569101961234%,19.7501329080276%,6.03573153066152%,4.29227390696746%,7.19774590163934%,4.77924442421484%,2.69110764430577%,7.74469954959903%,74432.9707328175,88324.0042121685,55151.9315610238
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",New York,84.641487814552%,92.6819330127944%,82.238303601481%,15.8928540083203%,3.51579884290165%,16.0477239748482%,10.5993948108247%,7.89223454833597%,11.9184903682348%,5.15724252837655%,1.41563351798118%,7.14198010886915%,47199.0513381235,62194.9705442715,42271.8765603896
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",New York,85.4810756415274%,88.716458986316%,85.8989314544352%,14.7557306435204%,7.37981929788261%,14.8949668687438%,7.81508892079973%,8.06367626273897%,6.06228886112268%,4.85938521909745%,4.31710469625162%,3.84051279265577%,59270.4064748201,70959.6234381732,53089.4779727307
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",New York,80.0602239578432%,80.241935483871%,83.9751426242869%,26.6719193192562%,23.0867130493806%,20.9223332680123%,7.52588847294472%,4.55086966881106%,5.92146928435719%,7.64747439067467%,3.70423546302943%,8.40713332524566%,79722.875528914,101386.503948313,72120.7388086862
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",New York,82.98343605547%,85.0973112509789%,79.2530296006887%,16.0894409937888%,8.39566819247516%,22.5454723254449%,7.6469895133734%,4.19399069989269%,13.3810999225407%,5.38470465359174%,2.81195678107638%,11.0377673796791%,62052.6501102472,70246.0301987116,47706.9986631016
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",New York,90.1551569156212%,90.9958720330237%,89.2823966558291%,11.7786483194522%,9.91915601169658%,12.0970630372493%,3.14761215629522%,3.46123930515945%,3.06574735286875%,5.86960291312641%,3.01247519138078%,12.0821953439979%,67394.8040575689,82236.7762971364,46001.6777214202
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",New York,83.1902020103445%,80.120611673487%,87.9719141141753%,17.6821385378873%,8.93021354858486%,19.8864585072633%,5.8019811643%,2.11108602393317%,6.71506352087114%,4.91524429585313%,2.1505376344086%,7.84268363215732%,50304.9740160713,64402.8094086022,39824.6616541353
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",New York,86.6238532110092%,98.0132450331126%,79.4261848556383%,27.4817835416806%,7.10633946830266%,35.9507313317937%,4.87943801025252%,1.63899978987182%,3.83944153577661%,6.28044905740309%,0%,7.49885688157293%,50871.3132810845,64757.9359197908,37593.8568815729
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",New York,89.0069762371921%,92.6343033016229%,87.8294418278385%,12.3546315836738%,9.84472444953545%,10.29052734375%,4.4212175228218%,2.04081632653061%,6.5122164898277%,6.04065886963444%,7.86075662614211%,4.07895487477894%,64965.1172616496,85990.8766895718,52301.6304409835
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",New York,84.6654577579393%,86.6386326641346%,79.0470179867466%,15.6931054038726%,7.98154268254661%,26.4571718195641%,5.41202569672321%,4.02957736924225%,8.91670530057178%,6.34850897907628%,3.15484578049162%,9.44111776447106%,91544.2915042012,100997.286206357,73149.8343313373
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",New York,84.3231441048035%,87.6662636033857%,83.991045397751%,12.4097030232766%,6.66630797374368%,15.5386081982841%,4.90241320339857%,4.47742182026623%,5.11661358265694%,8.09166235111341%,2.14882032667877%,10.6117894997831%,64844.3413386846,72917.5586206897,60813.2306452613
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",New York,89.092943654555%,87.0438921205711%,91.377407089415%,16.4264046602776%,2.13048383885312%,26.1492014024153%,8.09048700977971%,3.90733590733591%,10.7731682637938%,7.18434390144649%,0.876583926401666%,12.3881300047103%,59284.8689323975,79352.48220795,45354.1947651007
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",New York,83.5946813388354%,86.2937062937063%,81.0142834216017%,15.7009753967099%,4.87027765134274%,16.7268430381409%,3.41707121647735%,0.65402223675605%,4.30350129522854%,5.96752961825362%,0%,10.0039619651347%,60118.9052215884,75503.5626933844,52812.2375198098
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",New York,79.71959569612%,86.3522664877067%,77.2652793708013%,21.658185234479%,7.18578941719438%,22.8423252573729%,8.49922185315091%,2.21557267460368%,11.85444592038%,4.48144902132632%,2.40921294333757%,4.89873820379599%,66402.2772421852,80813.3064857991,57238.1815290001
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",New York,79.5854003088143%,85.606128084083%,74.547312255208%,13.8534879264086%,4.93522516964837%,15.7104620039567%,4.4854795938167%,3.86889236654495%,5.00420757363254%,2.92106898694842%,3.4231609613984%,2.49942497891589%,69914.804871001,82024.3822703153,64740.8139800503
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",New York,85.9984249742544%,90.4154274201286%,82.3833254519661%,10.3882461494783%,3.51118760757315%,11.2895377128954%,4.35871743486974%,1.50364892001763%,6.60140650952398%,2.4536852238841%,0.769312393887946%,2.44171670787708%,75552.6960013149,89189.0365025467,65426.7754327093
NEW YORK,,84.1751136195235%,87.4350509490281%,81.1854228353715%,21.5948806400415%,7.94532305953542%,28.0631874052461%,7.10653584805112%,3.8867088644136%,10.0637870247983%,7.24508896712943%,2.6493756904812%,10.979344624808%,81773.7711092213,106808.86758836,50730.0840936376
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",North Country,84.8874648084491%,82.6776842745615%,86.3353587962963%,17.7078750549934%,8.60418923799205%,18.1898764565751%,6.42478016319417%,3.09670032268138%,6.80668140506018%,5.84939736832406%,1.72297504445398%,6.66065846171178%,48088.9954374714,61357.7333987369,43350.0828375925
"Jefferson & Lewis Counties PUMA, New York",North Country,84.178590156566%,87.5066983081987%,83.4477559701693%,22.0624756889381%,6.86835106382979%,24.3639732017837%,8.66780289551065%,1.36824722811984%,10.2738437558786%,10.7362735449614%,1.51967435549525%,12.7374153274007%,50292.6046097713,79800.4422185286,40983.9356993063
"St. Lawrence County PUMA, New York",North Country,77.7363702699885%,82.0349761526232%,77.814465408805%,28.0637132901941%,11.3829093281148%,29.9683210137276%,7.29949956768937%,5.57753909930281%,6.50319406419871%,16.7244221646536%,8.61833105335157%,18.9432208526975%,45178.7339837071,62598.2558139535,38581.6657910689
NORTH COUNTRY,,82.8866005805497%,83.9703785474449%,83.2213733121907%,21.7863696925513%,8.7653671950825%,23.2528399530351%,7.41490221432035%,3.19896580091668%,7.98359256817036%,10.0534156236783%,3.33462475094089%,11.6496329856355%,48183.6026810563,67429.7225295793,41413.1075222874
"Broome (Outer West) & Tioga Counties PUMA, New York",Southern Tier,84.8614655486693%,87.3514674302076%,83.8101100811124%,19.7404198238045%,5.64683053040103%,23.5153189210519%,4.11249486793486%,0.981878564724569%,5.25251065674446%,9.34110192245731%,2.4174383348357%,12.750054007345%,59321.5030608957,93146.9950012292,43464.7107366602
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",Southern Tier,78.4406252513607%,77.2404391188921%,79.8840793044758%,29.1343027896202%,12.9142508391822%,30.7368559497583%,4.94592127465354%,1.07102164830991%,5.37430749562006%,10.949558985667%,3.71214278932878%,12.5590233790165%,50668.2673981406,65635.4101254064,43349.4696533456
"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",Southern Tier,84.8159225048302%,92.6632669847014%,81.3064345562515%,18.1962124210921%,7.14444197914356%,21.2114732565599%,1.95111257261866%,1.13047173820654%,2.34151673112494%,6.93849473124668%,5.89383987218179%,6.85570890840652%,56942.8865381015,78615.9330729629,45243.0265132566
"Chenango, Delaware & Broome (East) Counties PUMA; New York",Southern Tier,84.5670273772104%,85.3889078692632%,84.1517932170347%,19.9044236121283%,10.9646146388754%,18.4411153169483%,4.89621336017109%,2.88955223880597%,3.88434375218516%,5.84487613413351%,4.32115230728194%,5.32264529058116%,45209.5527876295,59037.5726860496,42209.253395111
"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",Southern Tier,83.9152149496977%,90.2671544174704%,82.0320188963979%,24.2293773777489%,3.80705600956747%,26.4156234862198%,5.52039723493331%,2.25428313796213%,6.10480640854473%,11.5868657399462%,1.14208522657497%,13.7261197624017%,45978.3403576717,63773.1843300995,40295.4473105379
"Tompkins County PUMA, New York",Southern Tier,76.3723754110802%,79.2817842986452%,72.5125009058627%,16.3157471233538%,8.98268398268398%,20.2932551319648%,3.84528020248564%,2.41616456697706%,5.2790903721205%,6.01192447830407%,4.26833818371763%,5.38676793923646%,62408.9095313018,79709.0420864115,41941.0263841695
SOUTHER TIER,,82.4629670761503%,84.6275244081851%,81.4662134308286%,21.5105321692339%,8.46606092998397%,23.5811990686845%,4.25281965186669%,1.72373342165915%,4.70023152147621%,8.53616729516627%,3.71010722669881%,9.79569105961366%,52998.2995042966,75211.370898919,42698.3953114112
"Cattaraugus & Allegany Counties PUMA, New York",Western NY,82.0541784778022%,83.9807555238774%,81.4287490673962%,21.4969481762694%,10.4861111111111%,22.3282168985798%,8.49109979544762%,8.07425430296477%,8.20552147239264%,9.08595028442297%,2.86441756842775%,9.61670611590441%,44350.9256084574,62578.7385953745,39156.3306482401
"Chautauqua County PUMA, New York",Western NY,81.0685390311321%,87.2580228856578%,80.5547004002127%,31.3180785810299%,10.1530725430748%,32.1292446292446%,9.71836734693878%,2.25503355704698%,9.8524378611906%,13.5619076199765%,4.19049497140603%,15.2081147254285%,43998.7298656048,62025.7365411162,38491.1317791752
"Erie County (Central) PUMA, New York",Western NY,85.0238268059457%,89.1724060065485%,84.2956329013728%,15.3508771929825%,2.75571664623421%,16.6483862267374%,5.34534440276841%,1.66923912422112%,5.59816292861283%,4.64524989328731%,0.563433780703976%,5.54020336436563%,53275.2118107752,68936.6432008103,46984.4241676281
"Erie County (North Central) PUMA, New York",Western NY,80.9514846360171%,85.9680352927518%,73.2235814679854%,8.8339222614841%,4.62546620656001%,13.4817593918152%,3.79134370035145%,3.4765794562172%,4.65521867453716%,0.637443241355222%,0.654184525152267%,0.657602417133209%,80929.5029936639,88476.3880261085,70327.8165822447
"Erie County (Northeast) PUMA, New York",Western NY,83.9578663386959%,86.7580368840069%,82.4723928439566%,5.64166797140024%,2.06630336058129%,7.9449337922184%,3.77546052097703%,1.6839785961599%,4.82058226134056%,1.06787803833896%,0.516900917644326%,1.48190836866587%,65226.9902183159,78467.7154141015,56232.6258597534
"Erie County (Northwest) PUMA, New York",Western NY,79.6770492867811%,85.0700723327306%,76.4260511614231%,14.0641453532992%,7.28100695865739%,15.8188802234897%,3.23255065937601%,1.43600047275736%,4.31629292770895%,7.13664765009508%,3.22173508702006%,9.04106953929018%,51885.9087204564,67658.163943138,41393.498124459
"Erie County (South) PUMA, New York",Western NY,82.5308565701498%,82.7629954738719%,83.2623539768266%,10.7061846125359%,3.81737235957185%,12.9017951832784%,4.57578376234257%,1.88119503001536%,6.44573118147099%,3.95228561895229%,1.73178108298463%,4.84449932515866%,65200.662286028,86990.4592948585,50972.6036118414
"Erie County (West Central)--Buffalo City (East) PUMA, New York",Western NY,76.1072796934866%,88.1328690061613%,75.4525816168193%,36.3840091445073%,10.3978494623656%,37.9974678202152%,6.61982411949269%,4.08851706922143%,7.58390902977319%,14.128086197459%,6.06382978723404%,16.5853461833138%,41025.9177262528,60119.056231003,37775.9450784306
"Erie County (West Central)--Buffalo City (West) PUMA, New York",Western NY,78.4505375790936%,82.2582399651909%,77.5001366941878%,32.1195144724556%,10.0871668262206%,39.448491551928%,3.54190003733931%,1.0791964137473%,4.81292614450238%,12.4638823220383%,1.52519893899204%,19.2041766614929%,52936.9575081967,69128.6891034118,37775.7549033442
"Niagara County (North & East) PUMA, New York",Western NY,85.2893683742482%,92.8096545743605%,81.4869993969707%,13.5646338765578%,5.81154543101217%,16.0582349573325%,6.06137458787725%,5.3055250640322%,6.56415913948838%,5.9239950610509%,3.26247761426458%,7.44384468048059%,54920.0938400329,70592.4313633886,46070.7698067212
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",Western NY,78.2460861056751%,86.2753523547611%,74.8669490604974%,23.9956530259571%,11.9877355668561%,22.7252735880785%,5.29562355235889%,5.29391834660342%,5.2394611669874%,7.89070559914965%,3.93465484610021%,7.98878088882441%,52502.9346922187,73457.1630640502,43867.6392475458
WESTERN NY,,81.4693065713032%,85.9787240964247%,79.91028055319%,19.3030803193189%,6.4020005947187%,21.7019057245584%,5.51433599240337%,2.91765591362145%,6.41055641830598%,6.93910548369466%,2.12266532054518%,8.70059132423527%,55561.7483684126,74588.3370918309,45556.2046583711
